                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.92775,                0.93919,                 1.3103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099594,              0.0099594,              0.0099594
                     44,                0.90829,                0.90039,                 1.3021,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099584,              0.0099584,              0.0099584
                     45,                0.84838,                0.84284,                  1.239,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099574,              0.0099574,              0.0099574
                     46,                0.93176,                0.95061,                 1.3636,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099564,              0.0099564,              0.0099564
                     47,                0.90504,                0.90749,                 1.2928,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099555,              0.0099555,              0.0099555
                     48,                0.93858,                0.93822,                 1.3018,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099545,              0.0099545,              0.0099545
                     49,                 0.9396,                0.94918,                 1.3293,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099535,              0.0099535,              0.0099535
                     50,                0.89755,                0.91555,                 1.2975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099525,              0.0099525,              0.0099525
                     51,                0.89478,                0.94707,                 1.3159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099515,              0.0099515,              0.0099515
                     52,                0.87235,                0.88011,                 1.2831,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099505,              0.0099505,              0.0099505
                     53,                0.91015,                0.91956,                 1.2907,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099495,              0.0099495,              0.0099495
                     54,                0.83562,                0.80841,                 1.2454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099485,              0.0099485,              0.0099485
                     55,                 0.9365,                0.88372,                 1.3133,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099475,              0.0099475,              0.0099475
                     56,                0.88121,                0.86529,                  1.268,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099465,              0.0099465,              0.0099465
                     57,                0.92619,                0.83832,                 1.3169,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099456,              0.0099456,              0.0099456
                     58,                0.88784,                 0.8943,                 1.3198,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099446,              0.0099446,              0.0099446
                     59,                0.87025,                0.83193,                 1.2706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099436,              0.0099436,              0.0099436
                     60,                0.85446,                0.81592,                 1.2709,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099426,              0.0099426,              0.0099426
                     61,                 0.8662,                0.83749,                 1.2585,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099416,              0.0099416,              0.0099416
                     62,                0.89245,                0.81151,                 1.2869,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099406,              0.0099406,              0.0099406
                     63,                 0.8364,                0.79248,                 1.2196,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099396,              0.0099396,              0.0099396
                     64,                  0.816,                0.81141,                 1.2528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099386,              0.0099386,              0.0099386
                     65,                 0.8638,                0.81174,                 1.2771,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099376,              0.0099376,              0.0099376
                     66,                 0.8987,                0.88098,                 1.3078,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099366,              0.0099366,              0.0099366
                     67,                0.85947,                0.82257,                 1.2817,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099357,              0.0099357,              0.0099357
                     68,                0.92688,                0.84335,                 1.3103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099347,              0.0099347,              0.0099347
                     69,                 0.8221,                0.83202,                 1.2385,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099337,              0.0099337,              0.0099337
                     70,                 0.8146,                0.78278,                 1.2498,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099327,              0.0099327,              0.0099327
                     71,                0.87361,                0.86844,                 1.2876,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099317,              0.0099317,              0.0099317
                     72,                0.84689,                0.82402,                 1.2635,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099307,              0.0099307,              0.0099307
                     73,                0.82042,                0.80496,                 1.2712,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099297,              0.0099297,              0.0099297
                     74,                0.81384,                0.76279,                 1.2209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099287,              0.0099287,              0.0099287
                     75,                0.82324,                0.80401,                 1.2533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099277,              0.0099277,              0.0099277
                     76,                0.85021,                0.81289,                 1.2736,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099267,              0.0099267,              0.0099267
                     77,                0.82816,                0.75016,                 1.2591,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099258,              0.0099258,              0.0099258
                     78,                0.76828,                0.75138,                 1.2174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099248,              0.0099248,              0.0099248
                     79,                0.81752,                0.79839,                 1.2321,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099238,              0.0099238,              0.0099238
                     80,                0.83956,                0.79448,                 1.2475,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099228,              0.0099228,              0.0099228
                     81,                0.85018,                0.85277,                 1.2686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099218,              0.0099218,              0.0099218
                     82,                0.85102,                0.81304,                 1.2633,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099208,              0.0099208,              0.0099208
                     83,                0.80079,                0.79916,                 1.2192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099198,              0.0099198,              0.0099198
                     84,                0.83351,                 0.8538,                 1.2746,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099188,              0.0099188,              0.0099188
                     85,                 0.8325,                0.78647,                 1.2651,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099178,              0.0099178,              0.0099178
                     86,                0.80097,                0.75632,                 1.2244,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099168,              0.0099168,              0.0099168
                     87,                0.82833,                 0.7984,                 1.2464,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099159,              0.0099159,              0.0099159
